dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
29,3,6,-0.500139773,3,50,37,501,7.269739628,59.74494171,6.082762718,11.52797318,191.3099365,0.005441555,0.034395754,1
228,5,1,-0.68037343,3,200,36,501,6.787937164,386.0580139,20.24845695,33.4127121,255.9637604,0.008320435,0.017120162,1
302,6,6,-0.735585332,4,500,36,501,7.826053143,1002.009338,19.36491585,32.31153488,304.6951599,0.004767636,0.007751375,1
17,3,6,-0.360687017,4,200,37,501,8.493476868,31.25,2.645751238,4.573921204,360,0,0,1
59,5,1,-0.740518987,4,200,27,501,7.119040489,19.76423454,4.472136021,7.20912075,198.4349518,0.006249416,0.050596442,1
76,6,1,-0.662905514,2,200,27,500,9.383019447,988.819519,8.306623459,16.08989334,56.30993271,-0.001310071,0.00512031,1
187,5,1,-0.762435913,4,100,36,501,6.588608265,75.5839386,10,17.87400818,119.7448807,0.008063742,0.030531626,1
44,5,6,-0.715925395,4,50,27,501,8.874828339,423.2635193,7.549834251,13.67494583,80.53768158,-0.001110732,-0.021327436,1
50,6,1,-0.696859896,5,100,11,501,8.710261345,485.1862488,9.591663361,15.79316902,351.8699036,0.004675824,-0.018554483,1
136,7,6,-0.685251772,1,50,36,501,13.19759655,862.5083618,4.582575798,2.290610075,90,-0.019154012,-0.319999993,1
34,3,4,-0.466143787,5,200,11,501,8.652963638,183.2669525,5.656854153,10.14210606,153.4349518,0.002441858,-0.014310835,1
31,3,4,-0.296119094,2,50,6,200,6.490637302,122.2998276,13.89244366,23.30701447,338.1985779,0.000512857,0.028174466,1
129,6,6,-0.734407365,1,50,36,500,8.397873878,1086.329834,15.7480154,26.32494736,75.96375275,-0.001897491,-0.007608961,1
207,6,1,-0.73029387,3,500,27,100,6.322057724,164.7882996,18.05546951,28.54879189,36.02737427,0.002743384,0.027850725,1
167,5,1,-0.714343131,1,200,27,500,7.594836712,508.903595,16.09347725,26.83778763,71.56504822,-0.002046011,0.0056921,1
29,1,4,-0.506359279,4,100,27,50,8.27033329,6.25,1,2.290610075,90,0.006384671,0,1
129,2,1,-0.74121058,2,500,27,50,8.27033329,6.25,1.414213538,2.290610075,270,0.006384671,0,1
99,5,1,-0.735245109,3,200,27,501,7.6127491,210.4788055,9.949873924,17.87400818,277.1250305,0.00059417,-0.021982772,1
17,3,6,-0.599300563,3,50,16,501,9.138445854,268.0212708,6.324555397,9.631651878,45,-0.009199724,-0.018856181,1
61,5,1,-0.770308137,1,500,16,501,7.92375946,8.838834763,2,3.237688065,225,0,0,1
36,6,6,-0.34989354,4,200,27,501,7.982651234,18.75,2.23606801,4.573921204,270,0,0,1
16,7,2,-0.380009204,3,50,23,501,8.675798416,9.375,1.732050776,2.290610075,270,-0.006384671,0,1
26,7,6,-0.620346665,4,200,27,50,7.197079182,36.32625198,5.19615221,9.365158081,14.03624344,0.000361617,0.036523011,1
45,6,6,-0.682819366,5,100,7,200,7.171720982,18.75,3.741657495,6.842773438,270,0.006264207,0.106666669,1
88,5,1,-0.645059764,2,50,7,501,7.983621597,544.2780762,12.76714516,23.30701447,158.1985931,0.002564283,-0.007683945,1
60,6,1,-0.721993029,4,100,7,501,7.451546669,68.90102386,5.744562626,11.30993271,323.1300964,-0.005068848,-0.00512,1
106,5,1,-0.610418975,5,500,7,500,7.569841862,80.65547943,6.244997978,11.52797318,168.6900635,0.006599333,0.02836141,1
57,6,1,-0.709750593,3,200,16,501,8.035331726,49.41058731,4,7.20912075,341.5650635,0.004999532,-0.040477153,1
49,3,6,-0.477144629,1,50,7,500,7.673770905,137.6753845,7.549834251,14.1969471,108.4349518,-0.000874699,0.003794733,1
56,3,4,-0.492235482,1,100,7,200,9.310053825,35.35533905,2,3.237688065,135,-0.006369403,-0.113137081,1
116,3,4,-0.538504481,2,50,23,500,10.49428368,1444.340088,5.19615221,11.30993271,53.13010406,-0.002172363,-0.020479999,1
112,6,6,-0.52582556,2,50,23,500,8.82212162,108.5222626,3.605551243,7.20912075,71.56504822,-0.007186828,-0.043006975,1
56,5,6,-0.62612927,3,200,23,501,10.94320297,452.5460205,4,5.111089706,63.43494797,-0.012647922,-0.071554177,1
34,3,4,-0.495416492,4,200,23,501,8.27033329,6.25,2,2.290610075,90,0.006384671,0,1
21,5,1,-0.614903271,4,200,23,500,9.130977631,29.55856514,2.645751238,3.237688065,45,-0.007961753,-0.084852815,1
80,5,1,-0.759898365,4,50,18,501,7.857379436,467.3206787,13.30413437,23.0354805,221.1859283,-0.005340998,-0.029037472,0
123,5,1,-0.736306369,3,200,22,501,9.544865608,1453.168213,10.34407997,17.87400818,240.2551117,0.004159193,0.00488506,0
134,6,6,-0.67177242,4,100,22,501,7.210047245,424.2871399,17.20465088,29.24882698,360,0,0,0
382,5,1,-0.776731312,4,501,18,501,7.149327278,69.26473999,9.695360184,13.12884617,120.9637527,0.003303289,0.039545555,0
625,7,6,-0.586188138,1,501,28,50,8.392174721,204.7354736,7.280109882,12.1561451,111.8014069,-0.005154368,-0.004098104,0
37,6,6,-0.536514103,3,100,22,500,8.257271767,549.0315552,11.04536057,20.67446327,57.99461746,0.002650179,0.008384703,0
606,6,1,-0.707806945,2,501,29,501,6.761327744,69.10306549,8.366600037,15.79316902,261.8699036,0.003877513,-0.015386644,0
286,5,1,-0.681999981,3,501,22,200,6.805531025,37.55760574,7.348469257,11.52797318,258.6900635,0.005325777,0.097756349,0
83,5,1,-0.682229221,4,200,24,200,7.705016136,230.8231964,10.09950447,17.87400818,240.2551117,-0.005347534,-0.000610633,0
416,5,1,-0.774623275,6,501,29,501,12.28213215,5869.904785,5.19615221,9.365158081,104.0362473,0.00108485,-0.045653764,0
141,6,1,-0.721117437,4,100,22,200,7.836026669,700.3405762,16.21727562,27.74965858,8.746162415,-0.00453861,-0.024047887,0
94,6,6,-0.693498492,6,500,27,500,7.160407543,257.4871216,13.89244366,24.09484291,10.30484676,-0.004712848,-0.000457947,0
422,6,1,-0.775431156,3,501,35,501,6.617293358,38.29340744,7.745966911,12.74985123,135,0.00296908,0.042426407,0
107,6,1,-0.682430506,2,50,23,501,6.879961967,287.8863831,16.70329285,28.54879189,36.02737427,0.000773775,0.009665092,0
931,2,6,-0.641240954,3,50,36,501,10.19983959,731.6495972,5.656854153,9.365158081,255.9637604,-0.00108485,-0.031957634,0
152,6,1,-0.773158729,5,501,24,501,9.010795593,340.7470398,7.483314991,11.52797318,281.3099365,0.007178222,0.02534424,0
83,5,1,-0.770909071,5,50,22,501,7.983388901,586.3701172,14.96662998,24.09484291,190.3048401,-0.00599817,0.003320114,0
95,5,1,-0.782556057,1,200,16,501,7.068086624,257.3188477,14.45683193,25.0884304,199.9831085,0.005309314,0.025742982,0
566,6,1,-0.771622956,6,501,34,501,11.38996601,17685.98828,14.3178215,24.09484291,100.3048477,-0.01390485,-0.0593041,0
662,6,6,-0.555555582,6,500,22,501,8.159820557,414.111145,10.77032948,18.9879818,35.53767776,-0.010529676,-0.001005385,0
576,5,1,-0.803085566,3,501,15,500,9.799900055,1875.322021,10.77032948,17.87400818,187.1250153,-0.01077995,-0.060452621,0
403,6,1,-0.713552594,3,501,29,500,9.173651695,632.3684082,9.165151596,14.36605644,308.6598206,0.000709537,-0.028035095,0
